model,display,type,init,pipeline,fraction,n_train_tiles,seed,f1_pres,f1_pres_val,f1_8cls,accuracy,best_epoch,best_C,probe,run_dir,f1_ALDE,f1_ARCA,f1_BIRC,f1_DRYI,f1_LICH,f1_MOSS,f1_PETF,f1_RUBC,f1_SEDG,f1_TUSS,f1_WILL
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.01,492,2,0.40476610515299993,0.4117061250973728,0.5565533945853749,0.6401295601772928,31,0.01,interne_run,sota_screening/mhsa/runs/frac001_seed2,0.8133993866477943,0.0,0.7671037918064451,0.0,0.6185173401209036,0.3872017353579176,0.25596816976127323,0.0,0.5492160278745645,0.7122812093157819,0.3487394957983193
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.05,2463,0,0.4545082904105299,0.4512630915523431,0.6249488993144785,0.6911580861461529,20,0.001,interne_run,sota_screening/mhsa/runs/frac005_seed0,0.9465767634854771,0.0,0.8121878121878122,0.0,0.6146277468022302,0.43683360258481424,0.468503937007874,0.0,0.5913607787467046,0.7315310105537083,0.3979695431472081
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.05,2463,1,0.4614900855049175,0.46501528706371753,0.6345488675692617,0.6921809296510967,27,0.001,interne_run,sota_screening/mhsa/runs/frac005_seed1,0.9397777203411735,0.0,0.8201701093560145,0.0,0.6156583629893239,0.46025602857993453,0.47955010224948874,0.0,0.6036560033236393,0.7137207179799209,0.44360189573459713
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.05,2463,2,0.4645385190984539,0.45355851236718786,0.6387404637603741,0.6995681327423571,27,0.001,interne_run,sota_screening/mhsa/runs/frac005_seed2,0.9523052464228935,0.0,0.8383436193509854,0.0,0.6062602965403624,0.46839945280437756,0.41826033312769895,0.0,0.5943722943722943,0.7257994501519317,0.5061830173124485
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.1,4927,0,0.4639514706255319,0.46268500059873663,0.6379332721101063,0.6999090805773384,10,0.001,interne_run,sota_screening/mhsa/runs/frac010_seed0,0.9517852488923638,0.0,0.8313350944929893,0.0,0.6282345234195873,0.45,0.4671968190854871,0.0,0.5856606919549813,0.7400855920114122,0.4491682070240296
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.1,4927,1,0.46485089900119153,0.45801209581665625,0.6391699861266382,0.6957040572792362,11,0.001,interne_run,sota_screening/mhsa/runs/frac010_seed1,0.9414797628254705,0.0,0.8211556099052277,0.0,0.6137975499677627,0.4824090638044126,0.4853306812531079,0.0,0.5958495993425108,0.7229699748557905,0.45036764705882354
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.1,4927,2,0.4720366501147637,0.4749295948299338,0.6490503939078001,0.7063302648028185,24,0.001,interne_run,sota_screening/mhsa/runs/frac010_seed2,0.9541524757663086,0.0,0.8406902086677368,0.0,0.6126364538537876,0.4827981651376147,0.45179063360881544,0.0,0.6060350284870226,0.7322869297344873,0.512013256006628
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.25,12320,0,0.464253060775236,0.4754607809313463,0.6383479585659495,0.6990567109898852,26,0.001,interne_run,sota_screening/mhsa/runs/frac025_seed0,0.9533437013996889,0.0,0.8203813819971294,0.0,0.6322743000943692,0.4611665155636144,0.46836127636560304,0.0,0.6042183622828784,0.7434539570461901,0.4235841737781226
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.25,12320,1,0.4661866510806156,0.46548197937927677,0.6410066452358463,0.700079554494829,22,0.001,interne_run,sota_screening/mhsa/runs/frac025_seed1,0.9533975527206456,0.0,0.8171607811393302,0.0,0.6419047619047619,0.4659022329511165,0.4966580976863753,0.0,0.6003010105353688,0.7377287249491722,0.415
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.25,12320,2,0.47506013116063384,0.4701467206342435,0.6532076803458715,0.7093419706784861,13,0.001,interne_run,sota_screening/mhsa/runs/frac025_seed2,0.9542961608775137,0.0,0.8369037995149555,0.0,0.6317829457364341,0.490364660539579,0.4858515750133476,0.0,0.606317574729701,0.7374415887850467,0.4827031375703942
