model,display,fraction,n_train_tiles,n_seeds,ALDE,ALDE_std,ARCA,ARCA_std,BIRC,BIRC_std,DRYI,DRYI_std,LICH,LICH_std,MOSS,MOSS_std,PETF,PETF_std,RUBC,RUBC_std,SEDG,SEDG_std,TUSS,TUSS_std,WILL,WILL_std
vitb16_full_old,ViT-B/16 IN-Full,0.7,34497,3,0.956347620274271,0.0004955519524139801,0.011544227886056973,0.009997875649013018,0.8225106468088388,0.006213329495938149,0.0,0.0,0.6280333763724072,0.01621357295381178,0.47502063073077166,0.015155165536900453,0.47230432989683496,0.02302554944253936,0.0,0.0,0.5845583711520784,0.0026294429851627136,0.7298429104523431,0.01031676936285763,0.46154785767106965,0.006139550680700162
vitb16_full_old,ViT-B/16 IN-Full,1.0,49281,3,0.9571952601839177,0.00019408469466068438,0.011595079653155878,0.010042772411595758,0.8298507172537445,0.0025584860211324686,0.0,0.0,0.6386416275790228,0.0010185274639575581,0.5023232056346378,0.008365110156174502,0.48966055773239753,0.00402321050121802,0.0,0.0,0.5929964089093418,0.010152943662245619,0.7423600608067247,0.0024011577778231385,0.45677397613836623,0.007719017349951296
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.01,492,3,0.8275092711242708,0.07076816443471465,0.0,0.0,0.7852891592562088,0.019471398561814696,0.0,0.0,0.5929609158065525,0.028715212422424606,0.42013807028256184,0.0690050328298642,0.31277402758384815,0.05658402225837206,0.0,0.0,0.5373198228382644,0.026000907385168533,0.6970140405075868,0.022094718765848863,0.33952497054506026,0.06122614322811852
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.05,2463,3,0.9462199100831814,0.006271382279457334,0.0,0.0,0.8235671802982708,0.013404724179531523,0.0,0.0,0.6121821354439722,0.005154286995453819,0.45516302798970876,0.016387639130759694,0.4554381241283539,0.03266719377911959,0.0,0.0,0.5964630254808795,0.006408705350975285,0.7236837262285203,0.009091691051781748,0.4492514853980845,0.054327501279298
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.1,4927,3,0.9491391624947143,0.006738007364057299,0.0,0.0,0.8310603043553179,0.00977019802347303,0.0,0.0,0.6182228424137125,0.008689784431677063,0.47173574298067583,0.018824710944749502,0.4681060446491368,0.016788499555932562,0.0,0.0,0.5958484399281716,0.010187168315503571,0.7317808322005633,0.008569024955608191,0.470516370029827,0.03594236112761624
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.25,12320,3,0.9536791383326161,0.0005350351454588035,0.0,0.0,0.824815320883805,0.010592051462448175,0.0,0.0,0.6353206692451884,0.005707281698729462,0.4724778030181033,0.01567040231738648,0.483623649688442,0.014279364924776761,0.0,0.0,0.6036123158493161,0.003053724019268195,0.7395414235934696,0.0033913935643300843,0.4404291037828389,0.03686112395691123
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.5,24639,3,0.9554955989498733,0.003330234416102016,0.0,0.0,0.8314473248517288,0.004217795494843828,0.0,0.0,0.6447670781969678,0.0026227625619305115,0.4869326109924359,0.002521604311594646,0.5084646268491274,0.016370218814634137,0.0,0.0,0.606351727220817,0.004486723217750003,0.7435904645954209,0.003132713956254051,0.45437221954800483,0.030673851644139136
vitb16_mhsa_old,ViT-B/16 IN-MHSA,0.7,34497,3,0.9556916743728641,0.0024341549127298015,0.017241379310344827,0.02986294495808409,0.829926709301882,0.006666177499854291,0.0,0.0,0.6453779090941584,0.0033708460148456827,0.4859570053902813,0.006138803008892925,0.5196432573766923,0.008153889875437746,0.0,0.0,0.6087431650211581,0.0042664563936290305,0.7421488133044858,0.003081071857749938,0.45646732968162435,0.014515733335221883
vitb16_mhsa_old,ViT-B/16 IN-MHSA,1.0,49281,3,0.9544777379668683,0.0006774969877097412,0.011299435028248588,0.019571195565750026,0.8231734584848369,0.007954593103912161,0.0,0.0,0.6431428934335273,0.009907785809838842,0.48482211583368934,0.0033886306117062188,0.4833638487041148,0.022642519357153557,0.0,0.0,0.598037026589816,0.006871075026241016,0.7362572142903586,0.0067643045588804,0.421585718386782,0.013874017718210277
vitb16_scratch_old,ViT-B/16 IN-Scratch,0.01,492,3,0.607042656220317,0.08057720753634262,0.0049382716049382715,0.00855333732132779,0.5701192319724452,0.04024589106668626,0.0025252525252525255,0.0043738656756789835,0.4689058439602935,0.017914957812240076,0.3263737928606101,0.0714102143583454,0.024300677860611377,0.026945355673282885,0.0,0.0,0.20930994675670409,0.07565065008123416,0.4087880720980217,0.024215428938363363,0.026088028791084312,0.01663140104900379
