target,population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
delta_f1_pres,top8,8,eff_rank_sigma2,"Rang effectif (σ², centrés)",-0.2142857142857143,-0.9240506329113927,0.6153846153846154,0.6103444156452669,0.8656057175056612,False,False,-0.642857142857143,0.0
delta_f1_pres,top8,8,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.14285714285714288,-0.6438356164383562,1.0,0.735764859879812,0.8656057175056612,False,False,-0.28571428571428575,0.42857142857142866
delta_f1_pres,top8,8,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,-0.04761904761904763,-0.9240506329113927,0.7948717948717949,0.9108491685195836,0.9108491685195836,False,False,-0.42857142857142866,0.21428571428571433
delta_f1_pres,top8,8,stable_rank,Stable rank (= NESum),-0.14285714285714288,-0.9999999999999998,0.7724331926863571,0.735764859879812,0.8656057175056612,False,False,-0.5,0.1785714285714286
delta_f1_pres,top8,8,participation_ratio,Participation ratio,-0.2380952380952381,-0.8987341772151901,0.6296296296296297,0.5701563208157683,0.8656057175056612,False,False,-0.642857142857143,0.03571428571428572
delta_f1_pres,top8,8,alpha_spectral,Exposant spectral α,0.14285714285714288,-0.9726027397260274,0.7951282051282049,0.735764859879812,0.8656057175056612,False,False,-0.14285714285714288,0.3214285714285715
delta_f1_pres,top8,8,aniso_cosine,Anisotropie (cosinus moyen),-0.5000000000000001,-0.9746835443037977,0.46835443037974694,0.2070312499999999,0.8656057175056612,False,False,-0.8214285714285715,-0.25
delta_f1_pres,top8,8,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),0.19047619047619052,-0.6708860759493672,1.0,0.6514014957024814,0.8656057175056612,False,False,0.03571428571428572,0.7857142857142859
delta_f1_pres,top8,8,fisher_ratio,Ratio de Fisher,0.30952380952380953,-0.5448663853727145,0.9178082191780822,0.4556448907375822,0.8656057175056612,False,False,0.07142857142857144,0.642857142857143
delta_f1_pres,top8,8,knn_purity,Pureté k-NN (k=10),0.4761904761904762,-0.5555555555555556,0.9729729729729729,0.23293553465009798,0.8656057175056612,False,False,0.21428571428571433,0.7857142857142859
delta_f1_pres,top8,8,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.09523809523809526,-0.9726027397260274,0.8481012658227849,0.8225054302036114,0.865795189688012,False,False,-0.39285714285714296,0.3571428571428572
delta_f1_pres,top8,8,nc1_canonical,NC1 — dispersion intra / inter,-0.2380952380952381,-0.9062499999999998,0.6202531645569621,0.5701563208157683,0.8656057175056612,False,False,-0.642857142857143,0.03571428571428572
delta_f1_pres,top8,8,silhouette,Silhouette,0.2380952380952381,-0.6202531645569621,0.9062499999999998,0.5701563208157683,0.8656057175056612,False,False,-0.03571428571428572,0.642857142857143
delta_f1_pres,top8,8,dbi,Davies-Bouldin,-0.4523809523809524,-1.0,0.25925925925925924,0.2604047674368853,0.8656057175056612,False,False,-0.6785714285714287,-0.28571428571428575
delta_f1_pres,top8,8,chi,Calinski-Harabasz,0.2380952380952381,-0.6202531645569621,0.9062499999999998,0.5701563208157683,0.8656057175056612,False,False,-0.03571428571428572,0.642857142857143
delta_f1_pres,top8,8,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.09523809523809526,-0.8482887951242383,0.7948717948717949,0.8225054302036114,0.865795189688012,False,False,-0.28571428571428575,0.3571428571428572
delta_f1_pres,top8,8,logme_train,LogME (train),0.3571428571428572,-0.432962709544988,0.976543209876542,0.38512064355625614,0.8656057175056612,False,False,0.14285714285714288,0.642857142857143
delta_f1_pres,top8,8,logme_test,LogME (test),0.4285714285714286,-0.6202531645569621,0.9737341772151901,0.2894032248467901,0.8656057175056612,False,False,0.14285714285714288,0.5714285714285715
