model,fraction,seed,n,dim,rankme_sigma_raw,rankme_sigma_centered,eff_rank_sigma2,rankme_sigma_raw_norm,eff_rank_sigma2_norm,stable_rank,participation_ratio,alpha_spectral,alpha_r2,aniso_cosine,aniso_spectral,fisher_ratio,knn_purity,intrinsic_dim_twonn,nc1_canonical,nc1_inverse,silhouette,dbi,chi,nc2_mean_cos,nc2_std_cos,emb_dir
simdinov2_vitb16_lora_r16_s2,1.0,2,17598,768,450.2643135015076,494.6988068398977,64.92447071596766,0.586281658205088,0.08453707124474956,5.499314767895991,16.12986155835753,1.4532172048386864,0.842722905480294,0.3517966866493225,139.65376277121754,0.31467771568644104,0.69688,9.853363318487178,2.710460783567264,0.36894095869689036,0.024554917281276675,4.360905223770507,648.8564640604588,-0.08796370702245258,0.3572781493825351,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a32_frac100_seed2
simdinov2_vitb16_lora_r2,1.0,0,17598,768,411.1300227316631,465.94772278666176,57.3671998748927,0.5353255504318529,0.07469687483709987,4.740208785930184,14.597110698141032,1.561779463113119,0.8632743911947628,0.43646255135536194,162.0181799332481,0.3335391507346623,0.69696,9.548755968952221,2.4962647214637186,0.40059853884937163,0.0233732575692072,4.277695462177238,704.5326502746703,-0.0830787664384514,0.371014763418466,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r2a2_frac100_seed0
simdinov2_vitb16_lora_r2,1.0,1,17598,768,408.083849503815,463.9786932912922,56.314241831064955,0.5313591790414257,0.0733258357175325,4.854548430771406,14.583089193834063,1.5690003387489968,0.8624522736885367,0.44355303049087524,158.20215020039709,0.329038860647513,0.69766,9.328146642467134,2.492253186388978,0.40124334295605707,0.020334285829028215,4.236054269964206,705.6666672570989,-0.08381975688990809,0.37083739418507555,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r2a2_frac100_seed1
simdinov2_vitb16_lora_r2,1.0,2,17598,768,406.25680567865555,462.9408359112847,55.39459308002196,0.528980215727416,0.0721283764062786,4.981363304029105,14.626819553816539,1.5632852582116745,0.8640601483297337,0.44884735345840454,154.17466125765492,0.33915498645878683,0.69544,9.504271225899583,2.4879105737725746,0.4019437075196941,0.020969322970005463,4.236662224802276,706.8983984151682,-0.0833163585306733,0.36535487485700757,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r2a2_frac100_seed2
simdinov2_vitb16_lora_r32,1.0,0,17598,768,437.08684962582316,487.80310142523035,61.27520420591563,0.5691235021169573,0.0797854221431193,5.198250739257108,15.075666538838554,1.4711521572499502,0.8497428303639658,0.3986223042011261,147.7420075565182,0.30968988548419785,0.69696,9.879406321542884,2.7689877589170386,0.3611428027369621,0.01965791506623724,4.387904044572263,635.141847173723,-0.08726902293571862,0.371202227213487,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r32a32_frac100_seed0
simdinov2_vitb16_lora_r32,1.0,1,17598,768,439.14210022492534,488.4196701618042,60.48869194805913,0.5717996096678716,0.07876131764070199,4.68582941573225,14.366868496949689,1.468327997388641,0.8470745084504525,0.3870048224925995,163.89841196982312,0.3250630157383063,0.69632,9.587884217971645,2.5436724366463137,0.39313238040903153,0.02663075097093584,4.3361387070011865,691.4019174256339,-0.08525069905435154,0.37561616718052315,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r32a32_frac100_seed1
simdinov2_vitb16_lora_r32,1.0,2,17598,768,435.5686262890635,484.6255349941431,59.86126662590265,0.5671466488138848,0.07794435758581074,5.427146716900408,15.419404014257033,1.472940530378376,0.8494916145234399,0.386747270822525,141.51082328554142,0.334222935602527,0.6955,9.83252016302857,2.568482193896646,0.38933499417510464,0.025846576610678927,4.354410642084366,684.7234542560216,-0.08781136044010404,0.357851603353209,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r32a32_frac100_seed2
simdinov2_vitb16_lora_r4,1.0,0,17598,768,432.706237997614,479.35938954848336,64.2394824544563,0.5634195807260599,0.08364515944590663,5.592468439260034,16.858625935775,1.522039619917181,0.8549621616610099,0.37624242901802063,137.32755192832482,0.3048659476223075,0.69702,9.599210529681214,2.8168265397960943,0.35500943557285336,0.023697879512871885,4.384038368556819,624.3550943421973,-0.0869028363327337,0.35245557619758544,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r4a4_frac100_seed0
simdinov2_vitb16_lora_r4,1.0,1,17598,768,414.85473196068875,468.29687762309044,56.393944358080404,0.5401754322404801,0.07342961504958385,4.79150776475662,14.434328990521978,1.5443629282650604,0.8600746538865254,0.42381200194358826,160.28357621559857,0.332200985683824,0.69774,9.47589501346631,2.4645143706216475,0.40575945180930506,0.02124486031141833,4.2527915367036835,713.6091478973127,-0.08363050497691962,0.37388053280548306,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r4a4_frac100_seed1
simdinov2_vitb16_lora_r4,1.0,2,17598,768,407.37731213221275,464.2324070188516,55.91069666594328,0.5304392085054853,0.07280038628378031,5.092404824433372,14.93130626664058,1.5571423553051356,0.8627949351091964,0.44998252391815186,150.8128333228996,0.3408450097243496,0.69408,9.495367106453564,2.494479554454214,0.4008852260239898,0.020756540785996435,4.2059978899945145,705.036847008672,-0.08396053357776422,0.35860633398601083,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r4a4_frac100_seed2
